CustomerID,QTD_PEDIDOS,QTD_GASTA
ALFKI,6,4596.2000
ANATR,4,1402.9500
ANTON,7,7515.3500
AROUT,13,13806.5000
BERGS,18,26968.1500
BLAUS,7,3239.8000
BLONP,11,19088.0000
BOLID,3,5297.8000
BONAP,17,23850.9500
BOTTM,14,22607.7000
BSBEV,10,6089.9000
CACTU,6,1814.8000
CENTC,1,100.8000
CHOPS,8,12886.3000
COMMI,5,3810.7500
CONSH,3,1719.1000
DRACD,6,3763.2100
DUMON,4,1615.9000
EASTC,8,15033.6600
ERNSH,30,113236.6800
FAMIA,7,4438.9000
FOLIG,5,11666.9000
FOLKO,19,32555.5500
FRANK,15,28722.7100
FRANR,3,3172.1600
FRANS,6,1545.7000
FURIB,8,7151.5500
GALED,5,836.7000
GODOS,10,11830.1000
GOURL,9,8702.2300
GREAL,11,19711.1300
GROSR,2,1488.7000
HANAR,14,34101.1500
HILAA,18,23611.5800
HUNGC,5,3063.2000
HUNGO,19,57317.3900
ISLAT,10,6146.3000
KOENE,14,31745.7500
LACOR,4,1992.0500
LAMAI,14,10272.3500
LAUGB,3,522.5000
LAZYK,2,357.0000
LEHMS,15,21282.0200
LETSS,4,3490.0200
LILAS,14,17825.0600
LINOD,12,17889.5500
LONEP,8,4258.6000
MAGAA,10,7603.8500
MAISD,7,10430.5800
MEREP,13,32203.9000
MORGK,5,5042.2000
NORTS,3,649.0000
OCEAN,5,3460.2000
OLDWO,10,16325.1500
OTTIK,10,13157.5000
PERIC,6,4242.2000
PICCO,10,26259.9500
PRINI,5,5317.1000
QUEDE,9,6973.6300
QUEEN,13,30226.1000
QUICK,28,117483.3900
RANCH,5,2844.1000
RATTC,18,52245.9000
REGGC,12,7555.6000
RICAR,11,12924.4000
RICSU,10,20033.2000
ROMEY,5,1467.2900
SANTG,6,5735.1500
SAVEA,31,115673.3900
SEVES,9,17172.0500
SIMOB,7,18138.4500
SPECD,4,2423.3500
SPLIR,9,12489.7000
SUPRD,12,24704.4000
THEBI,4,3361.0000
THECR,3,1947.2400
TOMSP,6,4954.0000
TORTU,10,10812.1500
TRADH,6,7310.6200
TRAIH,3,1571.2000
VAFFE,11,16643.8000
VICTE,10,9937.1000
VINET,5,1480.0000
WANDK,10,10653.8500
WARTH,15,16617.1000
WELLI,9,6480.7000
WHITC,14,29073.4500
WILMK,7,3161.3500
WOLZA,7,3531.9500
